KeyConsult,KeyPatient,Name,FirstName,NumSecu,Date_In,Pathology,KeyChambre,ChambreNumber,Date_Out
KeyConsult4096,KeyPatient266,Name266,FistName266,NS04097,2023-01-30T00:00:00.000+01:00,Pathology20,NULL,NULL,2023-01-30T00:00:00.000+01:00
KeyConsult4097,KeyPatient14682,Name14682,FistName14682,NS04098,2023-01-30T00:00:00.000+01:00,Pathology45,KeyChambre78,C078,2023-01-31T00:00:00.000+01:00
KeyConsult4098,KeyPatient22093,Name22093,FistName22093,NS04099,2023-01-30T00:00:00.000+01:00,Pathology28,KeyChambre13,C013,2023-01-31T00:00:00.000+01:00
KeyConsult4099,KeyPatient30435,Name30435,FistName30435,NS04100,2023-01-30T00:00:00.000+01:00,Pathology3,KeyChambre38,C038,2023-02-02T00:00:00.000+01:00
KeyConsult4100,KeyPatient14697,Name14697,FistName14697,NS04101,2023-01-30T00:00:00.000+01:00,Pathology6,KeyChambre20,C020,2023-02-01T00:00:00.000+01:00
KeyConsult4101,KeyPatient7244,Name7244,FistName7244,NS04102,2023-01-30T00:00:00.000+01:00,Pathology80,KeyChambre75,C075,2023-02-01T00:00:00.000+01:00
KeyConsult4102,KeyPatient3213,Name3213,FistName3213,NS04103,2023-01-30T00:00:00.000+01:00,Pathology31,NULL,NULL,2023-01-30T00:00:00.000+01:00
KeyConsult4103,KeyPatient5752,Name5752,FistName5752,NS04104,2023-01-30T00:00:00.000+01:00,Pathology12,KeyChambre81,C081,2023-02-01T00:00:00.000+01:00
KeyConsult4104,KeyPatient7625,Name7625,FistName7625,NS04105,2023-01-30T00:00:00.000+01:00,Pathology39,NULL,NULL,2023-01-30T00:00:00.000+01:00
KeyConsult4105,KeyPatient36805,Name36805,FistName36805,NS04106,2023-01-30T00:00:00.000+01:00,Pathology58,KeyChambre75,C075,2023-02-01T00:00:00.000+01:00
KeyConsult4106,KeyPatient21196,Name21196,FistName21196,NS04107,2023-01-30T00:00:00.000+01:00,Pathology32,KeyChambre60,C060,2023-01-31T00:00:00.000+01:00
KeyConsult4107,KeyPatient33288,Name33288,FistName33288,NS04108,2023-01-30T00:00:00.000+01:00,Pathology69,KeyChambre26,C026,2023-02-03T00:00:00.000+01:00
KeyConsult4108,KeyPatient36888,Name36888,FistName36888,NS04109,2023-01-30T00:00:00.000+01:00,Pathology66,KeyChambre101,C101,2023-02-04T00:00:00.000+01:00
